Listing #,APN,Address,City,ZIP Code,Region,Submarket,Transaction Type,Listing Status,Available SF,Rate/SF,Bldg SF,Office SF,Clear Height,Amps,DH,GL,Possession,Brokerage,Listing Notes
41380587,7319-028-057,921 W Artesia Blvd,Compton,90220,South Bay,Carson/Compton,For Lease,Leased,145036,$1.45 NNN,145036,15600,24,1200,14,1,Now,CBRE,High image warehouse distribution facility
44487274,7352-009-038,2929-2931 California St,Torrance,90503,South Bay,Torrance,Sublease,Available,154000,$1.10 IG,312405,5000,16,4000,17,2,30 Days,Kidder Mathews,Central Torrance manufacturing sublet
45009128,7351-003-013,19200 S Western Ave,Torrance,90501,South Bay,Torrance,For Lease,Available,315256,$1.60 NNN,685897,9485,30,800,38,2,Now,Colliers,Harbor Gateway Commerce Center
44697517,7318-020-035,19520 Wilmington Ave,Rancho Dominguez,90220,South Bay,Carson/Compton,For Lease,Available,60690,$1.65 Net,60690,2750,30,,15,1,08/01/2026,Watson Land Company,Dominguez Technology Center
